Date,D2-B,D2-D,D6-D,D6-E,D6-I,D6-J,D6-S,D6-AB,D7-B,Label_D6-E,Label_D6-S,Label_D6-AB
"2月 02, 2018",1,1,1,1,1,1,1,1,1,1,1,0
"2月 09, 2018",0,0,1,1,1,0,1,0,1,0,0,0
"2月 16, 2018",0,0,0,0,1,1,0,0,1,1,1,0
"2月 23, 2018",1,0,1,1,1,1,1,0,1,1,0,0
"3月 02, 2018",1,0,1,1,0,0,0,0,1,1,0,0
"3月 09, 2018",1,1,1,1,0,0,0,0,1,0,0,0
"3月 16, 2018",1,0,0,0,0,1,0,0,0,1,0,0
"3月 23, 2018",1,0,1,1,0,1,0,0,0,0,0,1
"3月 30, 2018",1,0,0,0,0,0,0,1,0,1,0,0
"4月 06, 2018",1,1,1,1,1,1,0,0,0,0,0,0
"4月 13, 2018",0,0,0,0,0,0,0,0,0,1,1,0
"4月 20, 2018",0,0,1,1,1,1,1,0,1,1,1,0
"4月 27, 2018",0,0,1,1,1,1,1,0,1,0,0,0
"5月 04, 2018",0,0,0,0,0,0,0,0,0,0,0,0
"5月 11, 2018",1,0,0,0,0,1,0,0,1,1,1,0
"5月 18, 2018",0,0,1,1,1,1,1,0,1,0,0,1
"5月 25, 2018",1,0,0,0,1,1,0,1,0,1,1,1
"6月 01, 2018",1,0,1,1,1,1,1,1,0,0,0,0
"6月 08, 2018",1,1,0,0,0,0,0,0,0,0,1,1
"6月 15, 2018",1,0,0,0,1,1,1,1,0,0,1,1
"6月 22, 2018",1,0,0,0,1,0,1,1,0,1,0,1
"6月 29, 2018",0,0,1,1,0,0,0,1,0,0,0,1
"7月 06, 2018",0,1,0,0,0,1,0,1,0,1,0,0
"7月 13, 2018",0,0,1,1,0,0,0,0,1,0,0,0
"7月 20, 2018",1,0,0,0,0,0,0,0,0,1,0,1
"7月 27, 2018",1,0,1,1,0,1,0,1,1,0,1,1
"8月 03, 2018",1,0,0,0,1,1,1,1,0,1,1,1
"8月 10, 2018",1,0,1,1,0,0,1,1,1,0,1,1
"8月 17, 2018",0,0,0,0,1,1,1,1,0,0,1,0
"8月 24, 2018",0,0,0,0,0,0,1,0,0,0,1,1
"8月 31, 2018",1,0,0,0,1,1,1,1,0,0,0,1
"9月 07, 2018",1,0,0,0,1,1,0,1,0,0,0,1
"9月 14, 2018",0,0,0,0,0,1,0,1,1,1,1,0
"9月 21, 2018",0,0,1,1,1,0,1,0,1,1,0,0
"9月 28, 2018",1,0,1,1,0,1,0,0,1,1,1,0
"10月 05, 2018",0,0,1,1,1,0,1,0,1,1,0,0
"10月 12, 2018",1,0,1,1,0,1,0,0,1,1,0,0
"10月 19, 2018",0,0,1,1,0,0,0,0,1,1,0,0
"10月 26, 2018",1,0,1,1,0,1,0,0,1,1,1,0
"11月 02, 2018",0,0,1,1,1,0,1,0,1,1,0,0
"11月 09, 2018",1,1,1,1,0,1,0,0,1,1,0,0
"11月 16, 2018",1,0,1,1,0,1,0,0,0,1,0,1
"11月 23, 2018",1,0,1,1,0,0,0,1,0,0,1,1
"11月 30, 2018",0,0,0,0,1,0,1,1,0,0,1,0
"12月 07, 2018",0,0,0,0,1,1,1,0,0,0,1,0
"12月 14, 2018",0,0,0,0,1,1,1,0,0,0,1,1
"12月 21, 2018",0,0,0,0,1,0,1,1,0,1,1,1
"12月 28, 2018",1,0,1,1,1,1,1,1,0,0,1,1
"1月 04, 2019",0,0,0,0,1,0,1,1,0,0,1,1
"1月 11, 2019",0,1,0,0,1,1,1,1,0,1,1,0
"1月 18, 2019",0,0,1,1,1,1,1,0,1,1,0,0
"1月 25, 2019",0,0,1,1,0,0,0,0,1,1,1,0
"2月 01, 2019",1,0,1,1,1,0,1,0,1,1,0,1
"2月 08, 2019",0,0,1,1,1,1,0,1,1,1,0,0
"2月 15, 2019",0,0,1,1,0,0,0,0,1,0,0,0
"2月 22, 2019",1,0,0,0,0,0,0,0,0,1,0,0
